INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING
328	0	0118-0000	0118-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
329	0	0119-0000	0119-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
330	0	0120-0000	0120-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
331	0	0121-0000	0121-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
332	0	0122-0000	0122-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
333	0	0123-0000	0123-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
334	0	0124-0000	0124-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
335	0	0125-0000	0125-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
336	0	0126-0000	0126-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
337	0	0127-0000	0127-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
338	0	0128-0000	0128-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
339	0	0129-0000	0129-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
340	0	0130-0000	0130-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
341	0	0131-0000	0131-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
342	0	0201-0000	0201-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
343	0	0202-0000	0202-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
344	0	0203-0000	0203-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
345	0	0204-0000	0204-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
346	0	0205-0000	0205-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
347	0	0206-0000	0206-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
348	0	0207-0000	0207-2359	0	0	Ð±i quà ngày l­ · môn phái	Nhæng ngß¶i giao nhi®m vø môn phái		Huodong_2_10
349	0	0214-0000	0214-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
350	0	0215-0000	0215-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
351	0	0216-0000	0216-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
352	0	0217-0000	0217-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
353	0	0218-0000	0218-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
354	0	0219-0000	0219-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
355	0	0220-0000	0220-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
356	0	0221-0000	0221-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
357	0	0222-0000	0222-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
358	0	0223-0000	0223-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
359	0	0224-0000	0224-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
360	0	0225-0000	0225-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
361	0	0226-0000	0226-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
362	0	0227-0000	0227-2359	0	0	Hoa H°ng Truy«n Tình	Lac Dß½ng Khâu Bích Ð£c (175,104)		Cloth4_4
363	0	0111-0000	0111-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
364	0	0112-0000	0112-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
365	0	0113-0000	0113-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
366	0	0114-0000	0114-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
367	0	0115-0000	0115-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
368	0	0116-0000	0116-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
369	0	0117-0000	0117-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
370	0	0118-0000	0118-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
371	0	0119-0000	0119-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
372	0	0120-0000	0120-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
373	0	0121-0000	0121-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
374	0	0122-0000	0122-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
375	0	0123-0000	0123-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
376	0	0124-0000	0124-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
377	0	0125-0000	0125-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
378	0	0126-0000	0126-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
379	0	0127-0000	0127-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
380	0	0128-0000	0128-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
381	0	0129-0000	0129-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
382	0	0130-0000	0130-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
383	0	0131-0000	0131-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
384	0	0201-0000	0201-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
385	0	0202-0000	0202-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
386	0	0203-0000	0203-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
387	0	0204-0000	0204-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
388	0	0205-0000	0205-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
389	0	0206-0000	0206-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
390	0	0207-0000	0207-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
391	0	0208-0000	0208-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
392	0	0209-0000	0209-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
393	0	0210-0000	0210-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
394	0	0211-0000	0211-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
395	0	0212-0000	0212-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
396	0	0213-0000	0213-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
397	0	0214-0000	0214-2359	0	0	Thu th§p Xuân Li­n	Tô Châu Âu Dß½ng Tu (87,80)		CircularTaskTool9_4
398	0	0130-0000	0130-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
399	0	0131-0000	0131-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
400	0	0201-0000	0201-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
401	0	0202-0000	0202-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
402	0	0203-0000	0203-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
403	0	0204-0000	0204-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
404	0	0205-0000	0205-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
405	0	0206-0000	0206-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
406	0	0207-0000	0207-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
407	0	0208-0000	0208-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
408	0	0209-0000	0209-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
409	0	0210-0000	0210-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
410	0	0211-0000	0211-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
411	0	0212-0000	0212-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
412	0	0213-0000	0213-2359	0	0	Ån nguyên tiêu trúng quà	Lý ÐÕi Chüy LÕc Dß½ng  (134,152)		Food2_1
413	0	0122-2115	0122-2130	0	0	L­ hµi BOSS Ðêm Xuân	Trß¾c quäng trß¶ng LÕc Dß½ng		Huodong_2_12
414	0	0123-2115	0123-2130	0	0	L­ hµi BOSS Ðêm Xuân	Trß¾c quäng trß¶ng LÕc Dß½ng		Huodong_2_12
415	0	0124-2115	0124-2130	0	0	L­ hµi BOSS Ðêm Xuân	Trß¾c quäng trß¶ng LÕc Dß½ng		Huodong_2_12
416	0	0125-2115	0125-2130	0	0	L­ hµi BOSS Ðêm Xuân	Trß¾c quäng trß¶ng LÕc Dß½ng		Huodong_2_12
417	0	0126-2115	0126-2130	0	0	L­ hµi BOSS Ðêm Xuân	Trß¾c quäng trß¶ng LÕc Dß½ng		Huodong_2_12
418	0	0127-2115	0127-2130	0	0	L­ hµi BOSS Ðêm Xuân	Trß¾c quäng trß¶ng LÕc Dß½ng		Huodong_2_12
419	0	0128-2115	0128-2130	0	0	L­ hµi BOSS Ðêm Xuân	Trß¾c quäng trß¶ng LÕc Dß½ng		Huodong_2_12
420	0	0129-2115	0129-2130	0	0	L­ hµi BOSS Ðêm Xuân	Trß¾c quäng trß¶ng LÕc Dß½ng		Huodong_2_12
