INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
116	0	1	34	0	808000	0	0	0	0	0	0	4	30	#PSñ ki®n #GLâu Lan T¥m Bäo#P s¨ b¡t ð¥u vào lúc #G11:30#P. Ngß¶i ch½i ðÕt ðªn #Gc¤p 75#P và tâm pháp ðÕt ðªn #Gc¤p 40#P chï c¥n t± ðµi #G>=3 ngß¶i#P ðªn #GLâu Lan Kim CØu Linh (162,75)#P ð¬ tham gia. 	170	5	#GLâu Lan T¥m Bäo#P s¨ b¡t ð¥u vào lúc #G11:30#P. Hãy ðªn #GLâu Lan (162,75)#P tìm #GKim CØu Linh#P báo danh là có th¬ tham gia. Ngß¶i ch½i ðÕt ðªn #Gc¤p 75#P và tâm pháp ðÕt ðªn #Gc¤p 40#P, chï c¥n t± ðµi #G>=3 ngß¶i#P thì có th¬ tham gia. 	180	20	#GLâu Lan T¥m Bäo#P ðã b¡t ð¥u, hãy ðªn #GLâu Lan (162,75)#P tìm #GKim CØu Linh#P báo danh thì có th¬ tham gia. 	350	5	#PSñ ki®n #GLâu Lan T¥m Bäo#P ngày hôm nay s¨ kªt thúc vào lúc #G14:30#P, m÷i ngß¶i hãy kh¦n trß½ng nào! 	359	1	#PSñ ki®n #GLâu Lan T¥m Bäo#P ngày hôm nay s¨ kªt thúc vào lúc #G22:00#P, cäm ½n m÷i ngß¶i tham gia. H©n g£p m÷i ngß¶i vào ngày mai !	360	-1	Lâu Lan T¥m Bäo	95
117	0	1	74	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	95
118	0	1	76	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	95
119	0	1	74	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	76
120	0	1	76	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	78
121	0	2	76	0	808041	0	0	0	0	0	0	4	30	#{BHSJ_081014_01}	50	15	#{BHSJ_081014_30}	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thu th§p nhóm bang hµi	95
122	1	1	45	-1	808123	50	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân Long Chi Quang cüa phòng nghï ng½i KÏ Cuµc	94
123	1	1	37	0	808076	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	95
124	1	1	0	158	808106	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1440	-1	Thi¬m Ði®n C¦u	95
125	1	1	0	4	808132	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1001 ß¾c nguy®n	95
126	0	1	66	18	402110	0	0	0	0	0	0	4	4	#{CJG_090413_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Tàng Kinh Các	95
127	0	1	86	18	402110	0	0	0	0	0	0	4	4	#{CJG_090413_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Tàng Kinh Các	95
128	0	1	92	18	402110	0	0	0	0	0	0	4	4	#{CJG_090413_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Tàng Kinh Các	95
129	0	2	376	0	808000	76	0	0	0	0	0	4	30	#{ZXCM_090602_01}	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tr÷ng HÕ Tr× Ma	385
130	0	2	386	0	808000	86	0	0	0	0	0	4	15	#{ZXCM_090602_02}	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tr÷ng HÕ Tr× Ma	387
131	0	2	388	0	808000	88	0	0	0	0	0	4	60	#{ZXCM_090602_03}	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tr÷ng HÕ Tr× Ma	393
132	0	1	52	443	50062	0	0	0	0	0	0	4	4	#{FHGC_090706_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Phøng Hoàng Lång Mµ	95
133	0	1	90	443	50062	0	0	0	0	0	0	4	4	#{FHGC_090706_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Phøng Hoàng Lång Mµ	95
134	0	2	676	0	403004	76	0	0	0	0	0	4	15	#{FHZD_090708_01}	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Phøng Hoàng C± Thành Tranh ÐoÕt	695
135	0	2	376	0	403004	76	0	0	0	0	0	4	15	#{FHZD_090708_01}	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Phøng Hoàng C± Thành Tranh ÐoÕt	395
136	0	1	43	18	402110	0	0	0	0	0	0	4	4	#{CJG_090413_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Tàng Kinh Các	95
137	0	1	66	0	808076	66	0	0	0	0	0	4	60	#{XRZZ_091028_1}	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thông Báo Giáng Sinh Tuyªt Nhân ÐÕi Tác Chiªn	95
138	0	1	78	3	808011	78	0	0	0	0	0	4	4	#{XRZZ_091028_2}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	Làm m¾i Giáng Sinh Tuyªt Nhân ÐÕi Tác Chiªn 	95
139	0	1	38	0	808076	0	0	0	0	0	0	4	300	#{SJCL_091109_17}	610	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thu th§p Xuân Li­n	80
140	1	1	41	0	808076	41	0	0	0	0	0	4	570	#{MYHK_100104_1}	575	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tôi yêu thØ tài v§n may	95
141	1	1	43	0	808076	43	0	0	0	0	0	4	300	#{WHCD_100224_01}	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Vån Hàn T× Ði¬n	95
142	1	1	7	0	808076	84	0	0	0	0	0	4	180	#{CJNX_100310_6}	1270	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngh¸ch T§p	95
143	1	1	0	1	809443	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	T¯ Duyên T× Tô Châu	95
144	1	1	0	194	809439	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	T¯ Duyên T× Hàn Ng÷c C¯c	95
145	1	1	59	0	808076	95	0	0	0	0	0	4	300	#{SYC_100521_1}	305	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	T¯ Duyên T× C±n Bình	95
146	1	1	58	0	808076	24	0	0	0	0	0	4	360	#{STJB_100518_97}	365	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng kªt bái sß ð°	95
147	1	1	0	0	808076	95	0	0	0	0	0	4	120	#{WJZH_100910_02}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngß¶i ch½i g÷i v«	95
148	1	1	0	0	808076	95	0	0	0	0	0	4	120	#{WJZH_100910_03}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ngß¶i ch½i g÷i v«	95
149	1	0	35400	0	50080	959	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sñ ki®n Nghênh tân	0
150	1	0	0	0	50080	1727	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sñ ki®n Nghênh tân	1795
151	1	1	40	0	808076	48	0	0	0	0	0	4	120	T× #G16/2 ðªn 1/3#P, b¤t kÏ anh hùng nào ðÕt #Gc¤p 10#P m²i ngày có th¬ ðªn ch² #GL°ng Ðèn · ÐÕi Lý (159,144), Tô Châu (175,163), LÕc Dß½ng (164,135) #P tham gia #GhoÕt ðµng ð¯ ðèn#P, ph¥n thß·ng l¾n ðang ch¶, hãy mau ðªn l¤y!	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ðång Mê	95
152	1	1	0	0	808076	2	0	0	0	0	0	4	120	#{MGCQ_100803_2}	1325	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	T£ng hoa h°ng l­ Tình Nhân 2012	95

#200	0	1	2	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#201	0	1	10	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#202	0	1	18	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#203	0	1	26	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#204	0	1	34	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#205	0	1	42	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#206	0	1	50	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#207	0	1	58	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#208	0	1	66	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#209	0	1	74	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#210	0	1	82	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
#211	0	1	90	188	045030	0	0	2	0	0	0	4	5	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng Bang Dieu Long	695
