INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
120	Ban t£ng bµ Thiên C½	6	-1	-1	-1	-1	43	28	35	297	3	1562	36	99	26	268	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	Thái Ni­u	4	-1	-1	-1	-1	3	478	0	924	37	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	Ngñ tÑ b¡c ð¦u sáo	6	-1	-1	-1	-1	42	32	35	339	0	3455	36	113	19	305	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	Ngñ tÑ bá chü sáo	6	-1	-1	-1	-1	42	36	35	381	0	3876	36	127	19	343	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
124	Ngñ tÑ nam c½ sáo	6	-1	-1	-1	-1	43	32	35	339	3	1778	36	113	26	305	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
125	Ngñ tÑ vß½ng sß sáo	6	-1	-1	-1	-1	43	36	35	381	3	1995	36	127	26	343	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
126	Yªn H¥u	5	-1	-1	-1	-1	47	4	0	2569	48	3	37	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
127	HÕo linh	5	-1	-1	-1	-1	47	5	0	2991	48	3	37	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
128	Xích liên	5	-1	-1	-1	-1	47	6	0	3412	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
129	Bích Ng÷c	4	-1	-1	-1	-1	16	70	16	60	16	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	T¸ch Di®t	5	-1	-1	-1	-1	12	27	19	399	44	42	100	2921	-1	813	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	Ph¥n Tiên	5	-1	-1	-1	-1	9	27	19	399	35	444	100	2922	-1	814	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	Khiªu Thiên	5	-1	-1	-1	-1	15	27	9	27	36	148	100	2923	-1	815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	Tru Ma	5	-1	-1	-1	-1	12	27	6	27	43	42	100	2924	-1	816	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	Bích Th¥n	5	-1	-1	-1	-1	6	27	12	27	45	42	100	2925	-1	817	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	C¯t Linh	5	-1	-1	-1	-1	15	27	26	399	0	4509	100	2926	-1	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	Thiên †n	5	-1	-1	-1	-1	6	27	19	399	37	7	100	2927	-1	819	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	Tiên D§t	5	-1	-1	-1	-1	9	27	15	27	3	2320	100	2928	-1	820	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	Ô Nh§t	5	-1	-1	-1	-1	19	399	26	399	48	15	100	2929	-1	821	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	T¥n Võ	5	-1	-1	-1	-1	29	318	26	320	3	1865	0	3623	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	T¥n H°n	5	-1	-1	-1	-1	29	356	26	358	3	2082	0	4045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	T¥n Võ	5	-1	-1	-1	-1	22	318	19	320	3	1865	0	3623	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	T¥n H°n	5	-1	-1	-1	-1	22	356	19	358	3	2082	0	4045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
143	Minh nguy®t	4	-1	-1	-1	-1	43	31	26	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
144	Bích Thiên	4	-1	-1	-1	-1	42	31	19	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
145	Ðµ Lô 	4	-1	-1	-1	-1	43	31	19	290	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
146	Y Lâu 	4	-1	-1	-1	-1	46	17	35	322	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
147	Ng÷c C¯t 	4	-1	-1	-1	-1	44	34	26	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148	Tr¥n Ph¤t	4	-1	-1	-1	-1	44	34	19	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	Hß½ng Ph¥n	4	-1	-1	-1	-1	42	35	26	328	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	C¥m Hoành 	4	-1	-1	-1	-1	44	34	22	326	37	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
151	Ðiêu Lan 	5	-1	-1	-1	-1	43	38	44	38	26	365	27	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
152	Thái Âm	5	-1	-1	-1	-1	42	38	44	38	19	365	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
153	Ngân Tranh 	5	-1	-1	-1	-1	44	38	42	38	26	365	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
154	H§n Thiên 	5	-1	-1	-1	-1	44	38	22	363	29	363	23	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
155	Bµ Phiêu KÜ Thanh Ð°ng	7	-1	-1	-1	-1	42	13	35	129	19	119	0	1346	36	43	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
156	Bµ Phiêu KÜ BÕch Ngân	7	-1	-1	-1	-1	42	21	35	213	19	194	0	2189	36	71	37	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
157	Bµ Phiêu KÜ Hoàng Kim	7	-1	-1	-1	-1	42	28	35	297	19	268	0	3033	36	99	37	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
158	Bµ Phiêu KÜ BÕch Kim	7	-1	-1	-1	-1	42	36	35	381	19	343	0	3876	36	127	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
159	Bµ Phiêu KÜ Thô B¯	7	-1	-1	-1	-1	43	13	35	129	26	119	3	695	36	43	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
160	Bµ Phiêu KÜ Lång La	7	-1	-1	-1	-1	43	21	35	213	26	194	3	1128	36	71	37	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
161	Bµ Phiêu KÜ Kim Ty	7	-1	-1	-1	-1	43	28	35	297	26	268	3	1562	36	99	37	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
162	Bµ Phiêu KÜ Ðiêu Long	7	-1	-1	-1	-1	43	36	35	381	26	343	3	1995	36	127	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
163	Vô ¿u (Häi ngoÕi)	5	-1	-1	-1	-1	3	478	0	924	37	2	36	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
164	Bích Li­u	3	-1	-1	-1	-1	26	48	46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
165	Thanh Hà	3	-1	-1	-1	-1	44	9	36	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
166	Th® ThuÖ	4	-1	-1	-1	-1	22	121	48	2	37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
167	Ánh Nguy®t	3	-1	-1	-1	-1	43	17	44	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
168	Xán Tinh	4	-1	-1	-1	-1	26	197	13	2	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
169	Lôi T§p	5	-1	-1	-1	-1	26	235	12	5	37	5	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
170	Tß¶ng Không	4	-1	-1	-1	-1	43	29	44	28	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
171	Hàn Sß½ng	5	-1	-1	-1	-1	44	32	26	309	22	307	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
172	Huy«n Vû 	6	-1	-1	-1	-1	26	346	47	6	0	3919	37	6	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
173	Huyªt Ðao 	4	-1	-1	-1	-1	35	427	36	143	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
174	Nµ Anh	4	-1	-1	-1	-1	26	384	44	40	48	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
175	Nhu® Phong	5	-1	-1	-1	-1	44	40	46	22	43	40	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
176	Ð¦u Chuy¬n	5	-1	-1	-1	-1	12	27	26	399	44	42	100	2998	-1	1209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
177	Vô ßu	5	-1	-1	-1	-1	22	99	29	99	36	36	35	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
178	Tiêu Hà 	4	-1	-1	-1	-1	0	1135	19	100	26	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
182	Trùng Lâu Thiên Thß½ng	5	-1	-1	-1	-1	1	10	35	2000	37	500	100	8645	-1	1421	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
183	Trùng Lâu Thiên Hñu	7	-1	-1	-1	-1	1	10	18	100	36	1000	25	20	32	20	100	8647	-1	1423	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
